txid,timestamp,src_ip,dst_ip,src_port,dst_port,fee,script_type,geo_country,geo_asn,input_addresses,output_addresses,input_amounts,output_amounts
tx_benign_transfer_0675_5606,1788781411,192.0.2.175,104.28.16.5,53238,8333,6e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_92334886,merchant_wallet_93917830,0.49055,0.49052
tx_benign_transfer_0494_2180,1788723803,203.0.113.10,104.28.16.5,54099,8333,4e-05,p2sh,IR,AS58224 - TIC,benign_user_12558593,merchant_wallet_73246028,2.1768,2.17673
tx_benign_transfer_0861_2710,1788839515,198.51.100.20,104.28.16.5,41885,8333,7e-05,p2pkh,RU,AS12389 - Rostelecom,benign_user_13764654,merchant_wallet_42149161,1.62015,1.62011
tx_benign_transfer_0878_1375,1788844958,194.26.244.195,104.28.16.5,52402,8333,6e-05,p2pkh,SC,AS51852 - Private Layer,benign_user_95320504,merchant_wallet_33636496,2.44662,2.44658
tx_benign_transfer_0030_2079,1788581300,192.0.2.85,104.28.16.5,33096,8333,7e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_48137561,merchant_wallet_43822301,0.85253,0.85246
tx_benign_transfer_0219_5346,1788639591,185.220.170.73,104.28.16.5,39745,8333,5e-05,p2wpkh,DE,AS205100 - Tor Exit Node,benign_user_62734442,merchant_wallet_86741644,1.02911,1.02904
tx_benign_transfer_0009_7532,1788574063,192.0.2.107,104.28.16.5,53907,8333,4e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_51946203,merchant_wallet_99269266,2.22135,2.22129
tx_benign_transfer_0021_7636,1788577899,192.0.2.6,104.28.16.5,40642,8333,4e-05,p2sh,NL,AS49981 - WorldStream,benign_user_71753160,merchant_wallet_58567046,1.77665,1.77659
tx_benign_transfer_0490_5750,1788722313,192.0.2.166,104.28.16.5,36655,8333,4e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_61561575,merchant_wallet_98682228,2.4027,2.40266
tx_gather_2_356059,1788535722,203.0.113.136,104.28.16.5,53502,8333,0.0001,p2wpkh,IR,AS58224 - TIC,layer_80591959,gather_deposit_45570755,0.24807,0.24063
tx_benign_transfer_0502_7861,1788725650,185.220.2.143,104.28.16.5,37721,8333,4e-05,p2sh,DE,AS205100 - Tor Exit Node,benign_user_22842469,merchant_wallet_93070162,1.57171,1.57163
tx_benign_transfer_0661_1394,1788777990,198.51.100.221,104.28.16.5,47298,8333,5e-05,p2pkh,RU,AS12389 - Rostelecom,benign_user_22217180,merchant_wallet_25387340,0.06793,0.06787
tx_benign_transfer_0386_2705,1788690698,192.0.2.43,104.28.16.5,55967,8333,4e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_77738718,merchant_wallet_55300210,1.68949,1.68941
tx_outlier_high_urgency_5_5425,1788476399,185.220.158.207,104.28.16.5,57634,49152,0.05099,p2pkh,DE,AS205100 - Tor Exit Node,anomalous_funder_72394301,anomalous_recipient_89520597,0.18711,0.12563
tx_benign_transfer_0509_3236,1788728235,104.28.29.219,104.28.16.5,45254,8333,6e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_56113991,merchant_wallet_39508245,0.08992,0.08985
tx_gather_2_475876,1788535364,203.0.113.96,104.28.16.5,54112,8333,0.0001,p2wpkh,IR,AS58224 - TIC,layer_23383077,gather_deposit_45570755,0.24807,0.24063
tx_benign_transfer_0706_9500,1788790289,192.0.2.91,104.28.16.5,37542,8333,7e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_78754653,merchant_wallet_93366096,0.34448,0.34444
tx_benign_transfer_0163_7786,1788622762,194.26.97.116,104.28.16.5,32474,8333,7e-05,p2wpkh,SC,AS51852 - Private Layer,benign_user_64069715,merchant_wallet_79204468,1.69382,1.69376
tx_benign_transfer_0285_4675,1788660021,192.0.2.191,104.28.16.5,51204,8333,7e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_78574830,merchant_wallet_48606206,1.13696,1.13689
tx_benign_transfer_0667_5016,1788779402,194.26.138.244,104.28.16.5,43885,8333,0.0001,p2sh,SC,AS51852 - Private Layer,benign_user_70631785,merchant_wallet_15609238,0.36449,0.36442
tx_benign_transfer_0120_1794,1788607621,185.220.196.2,104.28.16.5,43513,8333,4e-05,p2sh,DE,AS205100 - Tor Exit Node,benign_user_41062464,merchant_wallet_19122502,1.31462,1.31453
tx_benign_transfer_0698_7208,1788787317,198.51.100.168,104.28.16.5,55801,8333,9e-05,p2pkh,RU,AS12389 - Rostelecom,benign_user_38217583,merchant_wallet_50946121,2.27752,2.27749
tx_benign_transfer_0641_5845,1788769909,104.28.108.103,104.28.16.5,59025,8333,8e-05,p2sh,US,AS13335 - Cloudflare,benign_user_50845544,merchant_wallet_52103461,1.5827,1.58262
tx_benign_transfer_0776_6245,1788813455,194.26.80.129,104.28.16.5,52564,8333,4e-05,p2sh,SC,AS51852 - Private Layer,benign_user_87037211,merchant_wallet_74194023,0.37709,0.37704
tx_benign_transfer_0229_2730,1788642305,192.0.2.145,104.28.16.5,55544,8333,4e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_81891508,merchant_wallet_56153339,0.37902,0.37895
tx_benign_transfer_0539_3034,1788737720,104.28.168.171,104.28.16.5,59251,8333,5e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_76019888,merchant_wallet_96541691,0.75742,0.75735
tx_benign_transfer_0846_7967,1788835296,192.0.2.39,104.28.16.5,59265,8333,8e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_93853635,merchant_wallet_48521233,0.45339,0.45332
tx_benign_transfer_0603_9470,1788757961,104.28.81.112,104.28.16.5,59251,8333,4e-05,p2sh,US,AS13335 - Cloudflare,benign_user_75937784,merchant_wallet_30302410,2.19357,2.1935
tx_benign_transfer_0525_5982,1788732732,194.26.146.34,104.28.16.5,59434,8333,9e-05,p2wpkh,SC,AS51852 - Private Layer,benign_user_44897610,merchant_wallet_40438156,1.33011,1.33004
tx_benign_transfer_0011_3002,1788574905,192.0.2.106,104.28.16.5,41586,8333,9e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_16904975,merchant_wallet_48604965,1.4703,1.47023
tx_benign_transfer_0221_2342,1788639912,104.28.122.217,104.28.16.5,33784,8333,5e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_73209094,merchant_wallet_75645462,0.07408,0.07404
tx_benign_transfer_0430_3906,1788702546,194.26.248.117,104.28.16.5,54554,8333,7e-05,p2wpkh,SC,AS51852 - Private Layer,benign_user_22499198,merchant_wallet_50170625,1.53161,1.53153
tx_benign_transfer_0176_1197,1788626205,104.28.253.93,104.28.16.5,40370,8333,4e-05,p2sh,US,AS13335 - Cloudflare,benign_user_66487347,merchant_wallet_59044830,1.25396,1.25389
tx_benign_transfer_0712_8559,1788793138,104.28.88.203,104.28.16.5,32813,8333,5e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_67551618,merchant_wallet_66061116,1.47164,1.47157
tx_benign_transfer_0738_8899,1788801697,104.28.18.86,104.28.16.5,30578,8333,7e-05,p2sh,US,AS13335 - Cloudflare,benign_user_70251890,merchant_wallet_61321020,1.59203,1.59194
tx_benign_transfer_0105_3541,1788602833,192.0.2.71,104.28.16.5,36176,8333,0.0001,p2sh,NL,AS49981 - WorldStream,benign_user_25145751,merchant_wallet_14324134,2.06017,2.06012
tx_benign_transfer_0597_3955,1788756268,185.220.105.203,104.28.16.5,34782,8333,3e-05,p2pkh,DE,AS205100 - Tor Exit Node,benign_user_41606345,merchant_wallet_92903638,0.71459,0.71451
tx_gather_4_739717,1788561517,198.51.100.57,104.28.16.5,42071,8333,0.0001,p2wpkh,RU,AS12389 - Rostelecom,layer_25457816,gather_deposit_45186708,0.27848,0.27013
tx_benign_transfer_0250_8406,1788649007,192.0.2.71,104.28.16.5,36861,8333,8e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_87346846,merchant_wallet_31264801,0.45029,0.45022
tx_ransom_peel_3_4_9201,1788427283,185.220.223.161,104.28.16.5,49779,8333,0.00025,p2wpkh,DE,AS205100 - Tor Exit Node,addr_peel_change_c3_hop_4,addr_cashout_peel_c3_5;addr_peel_change_c3_hop_5,1.50226,0.24049;1.26152
tx_benign_transfer_0075_7114,1788593856,194.26.204.253,104.28.16.5,41111,8333,7e-05,p2pkh,SC,AS51852 - Private Layer,benign_user_29363237,merchant_wallet_36717096,0.30584,0.30574
tx_benign_transfer_0406_2442,1788694712,185.220.48.51,104.28.16.5,46405,8333,0.0001,p2sh,DE,AS205100 - Tor Exit Node,benign_user_12884132,merchant_wallet_15335477,0.25801,0.25796
tx_benign_transfer_0054_8126,1788587358,194.26.71.164,104.28.16.5,55935,8333,0.0001,p2wpkh,SC,AS51852 - Private Layer,benign_user_95565484,merchant_wallet_64520614,0.88535,0.88532
tx_benign_transfer_0178_7806,1788626812,203.0.113.109,104.28.16.5,52996,8333,6e-05,p2sh,IR,AS58224 - TIC,benign_user_82016510,merchant_wallet_82162880,1.00096,1.00091
tx_benign_transfer_0720_6075,1788795772,192.0.2.111,104.28.16.5,56800,8333,8e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_31311258,merchant_wallet_91028510,2.25993,2.25989
tx_benign_transfer_0282_8870,1788659051,194.26.150.147,104.28.16.5,51861,8333,8e-05,p2sh,SC,AS51852 - Private Layer,benign_user_81659221,merchant_wallet_48376603,0.81273,0.81269
tx_benign_transfer_0273_6952,1788656019,198.51.100.184,104.28.16.5,44828,8333,4e-05,p2sh,RU,AS12389 - Rostelecom,benign_user_39762393,merchant_wallet_10294869,0.83661,0.83653
tx_benign_transfer_0271_2681,1788654995,192.0.2.104,104.28.16.5,43511,8333,3e-05,p2sh,NL,AS49981 - WorldStream,benign_user_10022778,merchant_wallet_22199793,0.30558,0.30552
tx_benign_transfer_0374_6544,1788687138,192.0.2.239,104.28.16.5,54889,8333,7e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_57716774,merchant_wallet_96513378,0.2328,0.23276
tx_gather_1_433632,1788524217,194.26.191.122,104.28.16.5,52492,8333,0.0001,p2wpkh,SC,AS51852 - Private Layer,layer_51708177,gather_deposit_40158811,0.20632,0.20013
tx_benign_transfer_0320_3949,1788671207,104.28.133.246,104.28.16.5,43285,8333,7e-05,p2sh,US,AS13335 - Cloudflare,benign_user_95580271,merchant_wallet_12499138,1.43495,1.43492
tx_benign_transfer_0249_3346,1788648993,104.28.81.221,104.28.16.5,53451,8333,4e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_75441993,merchant_wallet_54644768,2.46811,2.46802
tx_benign_transfer_0830_7293,1788831219,198.51.100.144,104.28.16.5,55538,8333,6e-05,p2sh,RU,AS12389 - Rostelecom,benign_user_46439333,merchant_wallet_37772949,2.42913,2.42909
tx_benign_transfer_0469_9399,1788716238,203.0.113.232,104.28.16.5,45375,8333,7e-05,p2pkh,IR,AS58224 - TIC,benign_user_66507825,merchant_wallet_57367387,1.34223,1.3422
tx_benign_transfer_0337_8450,1788675136,104.28.239.104,104.28.16.5,48838,8333,3e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_64644684,merchant_wallet_77946127,2.04063,2.04058
tx_benign_transfer_0769_4946,1788810977,104.28.63.55,104.28.16.5,35584,8333,8e-05,p2sh,US,AS13335 - Cloudflare,benign_user_22003335,merchant_wallet_24155900,1.12125,1.12121
tx_benign_transfer_0152_2871,1788618997,185.220.90.91,104.28.16.5,57705,8333,6e-05,p2wpkh,DE,AS205100 - Tor Exit Node,benign_user_49922369,merchant_wallet_92474715,0.79038,0.79032
tx_gather_3_310548,1788555831,203.0.113.34,104.28.16.5,57675,8333,0.0001,p2wpkh,IR,AS58224 - TIC,layer_56381032,gather_deposit_71315464,0.08575,0.08318
tx_benign_transfer_0228_1202,1788642193,192.0.2.202,104.28.16.5,52951,8333,7e-05,p2sh,NL,AS49981 - WorldStream,benign_user_66316931,merchant_wallet_25102023,0.82206,0.82201
tx_benign_transfer_0137_6443,1788613174,192.0.2.216,104.28.16.5,50322,8333,6e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_69085720,merchant_wallet_54927535,0.34737,0.34734
