ip_from,ip_to,country_code,asn_name
0,16777215,UNKNOWN,UNKNOWN
16777216,16777471,AU,UNKNOWN
16777472,16778239,CN,UNKNOWN
16778240,16779263,AU,UNKNOWN
16779264,16781311,CN,UNKNOWN
16781312,16785407,JP,UNKNOWN
16785408,16793599,CN,UNKNOWN
16793600,16809983,JP,UNKNOWN
16809984,16842751,TH,UNKNOWN
16842752,16843007,CN,UNKNOWN
16843008,16843263,AU,UNKNOWN
16843264,16859135,CN,UNKNOWN
16859136,16875519,JP,UNKNOWN
16875520,16908287,TH,UNKNOWN
16908288,16909055,CN,UNKNOWN
16909056,16909311,AU,UNKNOWN
16909312,16941055,CN,UNKNOWN
16941056,16973823,TH,UNKNOWN
16973824,17039359,CN,UNKNOWN
17039360,17039615,AU,UNKNOWN
17039616,17072127,CN,UNKNOWN
17072128,17104895,TH,UNKNOWN
17104896,17170431,JP,UNKNOWN
17170432,17301503,IN,UNKNOWN
17301504,17367039,CN,UNKNOWN
17367040,17432575,MY,UNKNOWN
17432576,17435135,CN,UNKNOWN
17435136,17435391,IN,UNKNOWN
17435392,17465343,CN,UNKNOWN
17465344,17498111,TH,UNKNOWN
17498112,17563647,KR,UNKNOWN
17563648,17825791,CN,UNKNOWN
17825792,17842175,KR,UNKNOWN
17842176,17986559,AU,UNKNOWN
17986560,18087935,KR,UNKNOWN
18087936,18153471,TH,UNKNOWN
18153472,18219007,JP,UNKNOWN
18219008,18350079,IN,UNKNOWN
18350080,18874367,CN,UNKNOWN
18874368,18907135,MY,UNKNOWN
18907136,18923519,SG,UNKNOWN
18923520,18925055,HK,UNKNOWN
18925056,18925311,JP,UNKNOWN
18925312,18925567,TW,UNKNOWN
18925568,18926208,SG,UNKNOWN
18926209,18926335,HK,UNKNOWN
18926336,18927103,SG,UNKNOWN
18927104,18927615,HK,UNKNOWN
18927616,18928127,TW,UNKNOWN
18928128,18929151,SG,UNKNOWN
18929152,18929407,TW,UNKNOWN
18929408,18929663,SG,UNKNOWN
18929664,18930175,KR,UNKNOWN
18930176,18930687,HK,UNKNOWN
18930688,18930943,SG,UNKNOWN
18930944,18931455,HK,UNKNOWN
18931456,18931711,SG,UNKNOWN
18931712,18932223,JP,UNKNOWN
18932224,18932735,SG,UNKNOWN
18932736,18933759,JP,UNKNOWN
18933760,18934015,TW,UNKNOWN
18934016,18934271,HK,UNKNOWN
18934272,18935039,TW,UNKNOWN
18935040,18935295,JP,UNKNOWN
18935296,18935551,TW,UNKNOWN
18935552,18935807,US,UNKNOWN
18935808,18936575,HK,UNKNOWN
18936576,18936831,SG,UNKNOWN
18936832,18937087,HK,UNKNOWN
18937088,18937343,SG,UNKNOWN
18937344,18938879,HK,UNKNOWN
18938880,18939135,KH,UNKNOWN
18939136,18939903,HK,UNKNOWN
18939904,18975079,JP,UNKNOWN
18975080,18975231,SG,UNKNOWN
18975232,19005439,JP,UNKNOWN
19005440,19136511,TW,UNKNOWN
19136512,19202047,HK,UNKNOWN
19202048,19267583,PH,UNKNOWN
19267584,19398655,IN,UNKNOWN
19398656,19726335,AU,UNKNOWN
19726336,19791871,CN,UNKNOWN
19791872,19922943,TH,UNKNOWN
19922944,20185087,CN,UNKNOWN
20185088,20447231,VN,UNKNOWN
20447232,20971519,CN,UNKNOWN
20971520,21102591,HK,UNKNOWN
21102592,21233663,JP,UNKNOWN
21233664,21495807,CN,UNKNOWN
21495808,22020095,JP,UNKNOWN
22020096,23068671,CN,UNKNOWN
23068672,24117247,KR,UNKNOWN
24117248,24379391,JP,UNKNOWN
24379392,24510463,CN,UNKNOWN
24510464,24518655,HK,UNKNOWN
24518656,24526847,NL,UNKNOWN
24526848,24535039,SG,UNKNOWN
24535040,24575999,HK,UNKNOWN
24576000,24641535,CN,UNKNOWN
24641536,27262975,AU,UNKNOWN
27262976,28311551,TW,UNKNOWN
28311552,28442623,KR,UNKNOWN
28442624,28443135,US,UNKNOWN
28443136,28443647,AU,UNKNOWN
28443648,28444415,US,UNKNOWN
28444416,28444671,IE,UNKNOWN
28444672,28445183,US,UNKNOWN
28445184,28445439,DE,UNKNOWN
28445440,28445695,AU,UNKNOWN
28445696,28446719,US,UNKNOWN
28446720,28446975,BH,UNKNOWN
28446976,28447231,IT,UNKNOWN
28447232,28447487,ZA,UNKNOWN
28447488,28447743,ID,UNKNOWN
28447744,28447999,AE,UNKNOWN
28448000,28448255,CH,UNKNOWN
28448256,28448511,ES,UNKNOWN
28448512,28448767,IN,UNKNOWN
28448768,28449023,AU,UNKNOWN
28449024,28449279,IL,UNKNOWN
28449280,28449535,CA,UNKNOWN
28449536,28449791,NZ,UNKNOWN
